Date,Close/Last,Volume,Open,High,Low
08/13/2021,$149.10,59375010,$148.97,$149.44,$148.27
08/12/2021,$148.89,73779110,$146.19,$149.05,$145.84
08/11/2021,$145.86,48493460,$146.05,$146.72,$145.53
08/10/2021,$145.60,69023080,$146.44,$147.71,$145.30
08/09/2021,$146.09,48908690,$146.20,$146.70,$145.52
08/06/2021,$146.14,54126810,$146.35,$147.11,$145.63
08/05/2021,$147.06,46397670,$146.98,$147.84,$146.17
08/04/2021,$146.95,56368270,$147.27,$147.79,$146.28
08/03/2021,$147.36,64786620,$145.81,$148.05,$145.18
08/02/2021,$145.52,62879960,$146.36,$146.95,$145.25
